,FECHA,HORA DECLARADA,RUTA,OPERADOR,TIPO_AERONAVE,PERSONAS_ABORDO,PASAJEROS A BORDO,TRIPULACION_ABORDO,CANTIDAD DE FALLECIDOS,PASAJEROS_FALLECIDOS,TRIPULACION_FALLECIDA,DESCRIPCION_ACCIDENTE,DÉCADA,AÑO
0,1908-09-17,17:18:00,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,1,1,1.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1900,1908
1,1912-07-12,06:30:00,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5,5,0.0,5.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1910,1912
4,1915-03-05,01:00:00,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,0,41,17,0.0,17.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,1910,1915
7,1916-10-01,23:45:00,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19,19,0.0,19.0,Shot down in flames by the British 39th Home Defence Squadron.,1910,1916
16,1920-12-14,12:15:00,"London, England",Handley Page Transport,Handley Page HP-16,8,6,2,4,2.0,2.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1920,1920
17,1921-08-24,17:40:00,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),49,0,49,43,0.0,43.0,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1920,1921
18,1922-03-22,11:40:00,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),6,5,1,5,5.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1920,1922
19,1922-04-07,13:15:00,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,5,2,7,5.0,2.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1920,1922
20,1922-07-16,16:45:00,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,4,1,5,4.0,1.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,1920,1922
21,1923-05-14,13:42:00,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,4,2,6,4.0,2.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",1920,1923
